Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_008630635.1	ASM863063v1	Neptunomonas concharum		JCM17730					GCF_008630635.1-RS_2024_03_28	Complete Genome	2019-09-21		1
GCF_002221505.1	ASM222150v1	Pseudoalteromonas nigrifaciens		KMM 661					GCF_002221505.1-RS_2024_04_22	Complete Genome	2017-07-19		3
GCF_000953655.1	LHA	Legionella hackeliae		ATCC 35250					GCF_000953655.1-RS_2024_12_11	Complete Genome	2014-12-09		2
GCF_001547935.1	ASM154793v1	Vibrio tritonius		AM2					GCF_001547935.1-RS_2024_12_11	Complete Genome	2015-09-11		2
GCF_000024825.1	ASM2482v1	Vibrio antiquarius		EX25					GCF_000024825.1-RS_2024_04_22	Complete Genome	2009-11-03		2
GCF_009938225.1	ASM993822v1	Vibrio ponticus		DSM 16217					GCF_009938225.1-RS_2024_12_13	Complete Genome	2020-01-06		3
GCF_000260985.4	ASM26098v3	Methylophaga nitratireducenticrescens		JAM1					GCF_000260985.4-RS_2024_12_11	Complete Genome	2017-06-27		1
GCF_900637635.1	52313_A01	Legionella jordanis		NCTC11533					GCF_900637635.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_002356555.2	HH1059_assembly_1.0	Halorhodospira halochloris		DSM 1059					GCF_002356555.2-RS_2024_03_28	Complete Genome	2018-05-22		1
GCF_004293625.1	ASM429362v1	Thiomicrorhabdus indica		13-15A					GCF_004293625.1-RS_2024_03_28	Complete Genome	2019-02-22		1
GCF_001636015.1	ASM163601v1	Moraxella ovis		199/55					GCF_001636015.1-RS_2024_12_09	Complete Genome	2016-05-02		2
GCF_002211785.1	ASM221178v1	Francisella halioticida		DSM 23729					GCF_002211785.1-RS_2024_03_28	Complete Genome	2017-06-30		1
GCF_014541205.1	ASM1454120v1	Mannheimia bovis		ZY190616					GCF_014541205.1-RS_2024_04_20	Complete Genome	2020-09-15		1
GCF_011455495.1	ASM1145549v1	Frederiksenia canicola		HPA 21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-19		1
GCF_003290445.1	ASM329044v1	Francisella adeliensis		FDC440					GCF_003290445.1-RS_2024_04_27	Complete Genome	2018-07-09		1
GCF_012222965.1	ASM1222296v1	Allofrancisella inopinata		SYSU YG23					GCF_012222965.1-RS_2024_04_27	Complete Genome	2020-04-09		1
GCF_001293165.1	ASM129316v1	Candidatus Thioglobus autotrophicus		EF1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-09-17		1
GCF_900475945.1	48290_E02	Pseudomonas mucidolens		NCTC8068					GCF_900475945.1-RS_2024_12_13	Complete Genome	2018-06-17		1
GCF_900187015.1	50465_F01	Serratia ficaria		NCTC12148					GCF_900187015.1-RS_2024_12_13	Complete Genome	2017-08-15		1
GCF_000582515.1	ASM58251v1	Yersinia similis		Y_sim_228					GCF_000582515.1-RS_2024_11_13	Complete Genome	2014-02-26		2
GCF_019670105.1	ASM1967010v1	Agarivorans albus		JCM 21469					GCF_019670105.1-RS_2024_05_06	Complete Genome	2021-06-03		1
GCF_000019225.1	ASM1922v1	Cellvibrio japonicus Ueda107		Ueda107					GCF_000019225.1-RS_2024_03_27	Complete Genome	2008-06-19		1
GCF_000015245.1	ASM1524v1	Shewanella amazonensis SB2B		SB2B					GCF_000015245.1-RS_2024_12_13	Complete Genome	2006-12-21		1
GCF_000953135.1	LFA	Legionella fallonii LLAP-10		LLAP-10					GCF_000953135.1-RS_2024_12_11	Complete Genome	2014-10-21		3
GCF_000262305.1	ASM26230v1	Shimwellia blattae DSM 4481 = NBRC 105725		DSM 4481					GCF_000262305.1-RS_2024_03_20	Complete Genome	2012-05-10		1
GCF_000227685.2	ASM22768v3	Thioalkalivibrio paradoxus ARh 1		ARh 1					GCF_000227685.2-RS_2024_12_13	Complete Genome	2014-01-03		1
GCF_024347055.1	ASM2434705v1	Vibrio porteresiae DSM 19223		MSSRF30					GCF_024347055.1-RS_2024_10_11	Complete Genome	2022-07-13		2
GCF_003610015.1	ASM361001v1	Zymobacter palmae		IAM14233					GCF_003610015.1-RS_2024_12_13	Complete Genome	2018-09-12		2
GCF_009664085.1	ASM966408v1	Thermochromatium tepidum ATCC 43061		ATCC 43061					GCF_009664085.1-RS_2024_05_05	Complete Genome	2019-11-15		1
GCF_002218045.2	ASM221804v2	Vibrio rumoiensis		FERM P-14531					GCF_002218045.2-RS_2024_12_13	Complete Genome	2018-06-06		4
GCF_000012305.1	ASM1230v1	Psychrobacter arcticus 273-4		273-4					GCF_000012305.1-RS_2024_11_26	Complete Genome	2005-07-20		1
GCF_038500265.1	ASM3850026v1	Ignatzschineria larvae DSM 13226		DSM 13226					GCF_038500265.1-RS_2024_04_27	Complete Genome	2024-04-28		1
GCF_001275365.1	ASM127536v1	Francisella persica ATCC VR-331		FSC845					GCF_001275365.1-RS_2024_12_09	Complete Genome	2015-08-27		1
GCF_022557255.1	ASM2255725v1	Pseudomonas syringae pv. tagetis		ICMP 4091					GCF_022557255.1-RS_2024_04_02	Complete Genome	2022-03-13		3
GCF_000019185.1	ASM1918v1	Shewanella halifaxensis HAW-EB4		HAW-EB4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-02-07		1
GCF_000013665.1	ASM1366v1	Saccharophagus degradans 2-40		2-40					GCF_000013665.1-RS_2024_08_06	Complete Genome	2006-03-17		1
GCF_001277255.1	ASM127725v1	Cronobacter condimenti 1330		LMG 26250					GCF_001277255.1-RS_2024_12_09	Complete Genome	2015-09-01		2
GCF_000226565.1	ASM22656v1	Glaciecola nitratireducens FR1064		FR1064					GCF_000226565.1-RS_2024_03_27	Complete Genome	2011-09-28		1
GCF_019669985.1	ASM1966998v1	Methylogaea oryzae		E10					GCF_019669985.1-RS_2024_05_06	Complete Genome	2021-06-02		1
GCF_003568825.1	ASM356882v1	Pseudoalteromonas tunicata		D2					GCF_003568825.1-RS_2024_03_28	Complete Genome	2018-09-04		2
GCF_024347275.1	ASM2434727v1	Amphritea japonica		JCM 14782					GCF_024347275.1-RS_2024_09_29	Complete Genome	2022-07-05		2
GCF_002221525.1	ASM222152v1	Pseudoalteromonas espejiana DSM 9414		DSM 9414					GCF_002221525.1-RS_2024_05_03	Complete Genome	2017-07-19		2
GCF_000023065.1	ASM2306v1	Tolumonas auensis DSM 9187		DSM 9187					GCF_000023065.1-RS_2024_05_01	Complete Genome	2009-05-13		1
GCF_000021985.1	ASM2198v1	Thioalkalivibrio sulfidiphilus HL-EbGr7		HL-EbGR7					GCF_000021985.1-RS_2024_05_01	Complete Genome	2009-01-13		1
GCF_018324105.1	ASM1832410v1	Acinetobacter bouvetii		JCM 18991					GCF_018324105.1-RS_2024_03_28	Complete Genome	2021-04-22		1
GCF_000014785.1	ASM1478v1	Alkalilimnicola ehrlichii MLHE-1		MLHE-1					GCF_000014785.1-RS_2024_12_13	Complete Genome	2006-09-12		1
GCF_000013905.1	ASM1390v1	Psychrobacter cryohalolentis K5		K5					GCF_000013905.1-RS_2024_11_26	Complete Genome	2006-04-18		2
GCF_000015585.1	ASM1558v1	Halorhodospira halophila SL1		SL1					GCF_000015585.1-RS_2024_04_26	Complete Genome	2007-01-10		1
GCF_000024765.1	ASM2476v1	Halothiobacillus neapolitanus c2		c2					GCF_000024765.1-RS_2024_03_12	Complete Genome	2009-10-21		1
GCF_900636745.1	44087_C02	Actinobacillus equuli		NCTC8529					GCF_900636745.1-RS_2024_12_13	Complete Genome	2018-12-20		1
GCF_900476035.1	53694_C01	Aggregatibacter segnis ATCC 33393		NCTC 10977					GCF_900476035.1-RS_2024_12_09	Complete Genome	2018-06-17		1
GCF_000319575.2	ASM31957v2	Spiribacter salinus M19-40		M19-40					GCF_000319575.2-RS_2024_05_02	Complete Genome	2013-05-24		1
GCF_002813775.1	ASM281377v1	Candidatus Thiodictyon syntrophicum		Cad16T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-07		3
GCF_002005305.1	ASM200530v1	Shewanella psychrophila		WP2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-21		1
GCF_014268375.2	ASM1426837v2	Pseudomonas salmasensis		SWRI126					GCF_014268375.2-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_014268585.2	ASM1426858v2	Pseudomonas iranensis		SWRI54					GCF_014268585.2-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_000520015.2	ASM52001v2	Chania multitudinisentens RB-25		RB-25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-03-16		1
GCF_036208045.1	ASM3620804v1	Thiorhodovibrio winogradskyi		DSM 6702					GCF_036208045.1-RS_2024_12_11	Complete Genome	2024-01-25		1
GCF_004353845.1	ASM435384v1	Citrobacter arsenatis		LY-1					GCF_004353845.1-RS_2024_05_04	Complete Genome	2019-03-17		3
GCF_001642805.2	ASM164280v2	Serratia surfactantfaciens		YD25					GCF_001642805.2-RS_2024_03_28	Complete Genome	2016-08-23		1
GCF_014269025.2	ASM1426902v2	Pseudomonas promysalinigenes		RW10S1					GCF_014269025.2-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_000213655.1	ASM21365v1	Alteromonas naphthalenivorans		SN2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-05-13		1
GCF_002863865.1	ASM286386v1	Ketobacter alkanivorans		GI5					GCF_002863865.1-RS_2024_12_09	Complete Genome	2018-01-05		1
GCF_900475285.1	43222_B01	Pseudomonas taetrolens		NCTC10697					GCF_900475285.1-RS_2024_12_13	Complete Genome	2018-06-17		1
GCF_003957745.1	ASM395774v1	Shewanella khirikhana		TH2012					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-21		2
GCF_001431725.1	ASM143172v1	Halomonas huangheensis		BJGMM-B45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-11-04		1
GCF_006385555.1	ASM638555v1	Shewanella polaris		SM1901					GCF_006385555.1-RS_2024_03_28	Complete Genome	2019-06-23		1
GCF_002163585.1	ASM216358v1	Tatumella citrea		DSM 13699					GCF_002163585.1-RS_2024_12_09	Complete Genome	2017-06-02		2
GCF_017348915.1	ASM1734891v1	Leclercia pneumoniae		49125					GCF_017348915.1-RS_2024_04_30	Complete Genome	2021-03-13		2
GCF_016618195.1	ASM1661819v1	Providencia manganoxydans		LLDRA6					GCF_016618195.1-RS_2024_03_25	Complete Genome	2021-01-12		1
GCF_007858975.2	ASM785897v2	Dickeya poaceiphila		NCPPB 569					GCF_007858975.2-RS_2024_12_09	Complete Genome	2019-11-12		1
GCF_003006155.1	ASM300615v1	Salinicola tamaricis		F01					GCF_003006155.1-RS_2024_04_08	Complete Genome	2018-03-16		1
GCF_001305575.3	ASM130557v3	Beggiatoa leptomitoformis		D-402					GCF_001305575.3-RS_2024_06_17	Complete Genome	2019-12-16		1
GCF_016613535.2	ASM1661353v2	Agrilutibacter solisilvae		R19					GCF_016613535.2-RS_2024_05_06	Complete Genome	2021-03-15		1
GCF_025917315.1	ASM2591731v1	Halomonas qaidamensis		XH36					GCF_025917315.1-RS_2024_11_26	Complete Genome	2022-10-31		2
GCF_003367315.1	ASM336731v1	Saccharospirillum mangrovi		HK-33					GCF_003367315.1-RS_2024_03_28	Complete Genome	2018-08-08		1
GCF_019722725.1	ASM1972272v1	Vreelandella profundi		MT13					GCF_019722725.1-RS_2024_04_07	Complete Genome	2021-08-23		1
GCF_008247605.1	ASM824760v1	Kushneria phosphatilytica		YCWA18					GCF_008247605.1-RS_2024_12_09	Complete Genome	2019-09-03		1
GCF_012295615.1	ASM1229561v1	Bermanella marisrubri		RED65					GCF_012295615.1-RS_2024_04_27	Complete Genome	2020-04-15		2
GCF_002310795.1	ASM231079v1	Pseudoalteromonas issachenkonii		KMM 3549					GCF_002310795.1-RS_2024_04_22	Complete Genome	2017-09-18		2
GCF_024347495.1	ASM2434749v1	Vibrio gallaecicus		CECT 7244					GCF_024347495.1-RS_2024_10_11	Complete Genome	2022-07-13		2
GCF_023921225.1	ASM2392122v1	Legionella lytica		PCM 2298					GCF_023921225.1-RS_2024_12_09	Complete Genome	2022-06-27		3
GCF_024347575.1	ASM2434757v1	Vibrio pelagius		ATCC 25916					GCF_024347575.1-RS_2024_03_29	Complete Genome	2022-07-13		3
GCF_024347655.1	ASM2434765v1	Vibrio toranzoniae		CECT 7225					GCF_024347655.1-RS_2024_10_11	Complete Genome	2022-07-13		2
GCF_030296755.1	ASM3029675v1	Methylophaga marina		NBRC 102421					GCF_030296755.1-RS_2024_06_21	Complete Genome	2023-03-24		1
GCF_009910365.1	ASM991036v1	Aequoribacter fuscus		IMCC3088					GCF_009910365.1-RS_2024_04_27	Complete Genome	2020-01-21		1
GCF_002838765.1	ASM283876v1	Kangiella profundi		FT102					GCF_002838765.1-RS_2024_11_26	Complete Genome	2017-12-13		1
GCF_016028775.1	ASM1602877v1	Moraxella nonliquefaciens		FDAARGOS_869					GCF_016028775.1-RS_2024_11_28	Complete Genome	2020-12-14		2
GCF_011455875.1	ASM1145587v1	Basfia succiniciproducens		JF4016					GCF_011455875.1-RS_2024_04_19	Complete Genome	2020-03-19		1
GCF_008369785.1	ASM836978v1	Francisella marina		E95-16					GCF_008369785.1-RS_2024_05_04	Complete Genome	2019-09-11		2
GCF_002215215.1	ASM221521v1	Granulosicoccus antarcticus IMCC3135		IMCC3135					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-06		1
GCF_000012985.1	ASM1298v1	Hahella chejuensis KCTC 2396		KCTC 2396					GCF_000012985.1-RS_2024_03_27	Complete Genome	2005-12-14		1
GCF_000019525.1	ASM1952v1	Shewanella woodyi ATCC 51908		ATCC 51908					GCF_000019525.1-RS_2024_12_09	Complete Genome	2008-03-13		1
GCF_000018025.1	ASM1802v1	Shewanella sediminis HAW-EB3		HAW-EB3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-09-18		1
GCF_000018285.1	ASM1828v1	Shewanella pealeana ATCC 700345		ATCC 700345					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-10-04		1
GCF_000227745.2	ASM22774v3	Thiocystis violascens DSM 198		DSM 198					GCF_000227745.2-RS_2024_05_01	Complete Genome	2012-06-08		1
GCF_000091325.1	ASM9132v1	Shewanella violacea DSS12		DSS12					GCF_000091325.1-RS_2024_12_11	Complete Genome	2010-04-01		1
GCF_013282725.1	ASM1328272v1	Yersinia mollaretii ATCC 43969		ATCC 43969					GCF_013282725.1-RS_2024_04_27	Complete Genome	2020-06-06		1
GCF_000015285.1	ASM1528v1	Psychromonas ingrahamii 37		37					GCF_000015285.1-RS_2024_12_13	Complete Genome	2006-12-22		1
GCF_000013765.1	ASM1376v1	Shewanella denitrificans OS217		OS217					GCF_000013765.1-RS_2024_12_13	Complete Genome	2006-04-10		1
GCF_001632775.1	ASM163277v1	Dokdonella koreensis DS-123		DS-123					GCF_001632775.1-RS_2024_05_05	Complete Genome	2016-04-27		1
GCF_000148645.1	ASM14864v1	Ferrimonas balearica DSM 9799		DSM 9799					GCF_000148645.1-RS_2024_05_01	Complete Genome	2010-09-24		1
GCF_000024725.1	ASM2472v1	Nitrosococcus halophilus Nc 4		Nc 4					GCF_000024725.1-RS_2024_03_28	Complete Genome	2010-03-26		2
GCF_000327045.1	ASM32704v1	Thioflavicoccus mobilis 8321		8321					GCF_000327045.1-RS_2024_05_02	Complete Genome	2012-12-20		2
GCF_000321415.2	ASM32141v2	Thioalkalivibrio nitratireducens DSM 14787		DSM 14787					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-12-23		1
GCF_024346755.1	ASM2434675v1	Vibrio aerogenes		LMG 19650					GCF_024346755.1-RS_2024_10_11	Complete Genome	2022-07-13		3
GCF_000214215.1	ASM21421v1	Marinomonas posidonica IVIA-Po-181		IVIA-Po-181					GCF_000214215.1-RS_2024_05_01	Complete Genome	2011-05-20		1
GCF_000026185.1	ASM2618v1	Erwinia tasmaniensis Et1/99		Et1/99					GCF_000026185.1-RS_2024_12_11	Complete Genome	2008-05-13		6
GCF_000224005.2	ASM22400v3	Marichromatium purpuratum 984		984					GCF_000224005.2-RS_2024_12_09	Complete Genome	2014-01-03		1
GCF_000242255.2	ASM24225v3	Frateuria aurantia DSM 6220		DSM 6220					GCF_000242255.2-RS_2024_05_12	Complete Genome	2012-03-02		1
GCF_000143085.1	ASM14308v1	Nitrosococcus watsonii C-113		C-113					GCF_000143085.1-RS_2024_12_13	Complete Genome	2010-06-25		3
GCF_000238255.3	ASM23825v4	Pseudoalteromonas spongiae UST010723-006		UST010723-006					GCF_000238255.3-RS_2024_03_28	Complete Genome	2017-09-18		2
GCF_024346835.1	ASM2434683v1	Vibrio comitans		LMG 23416					GCF_024346835.1-RS_2024_04_02	Complete Genome	2022-07-13		3
GCF_024346935.1	ASM2434693v1	Vibrio inusitatus		LMG 23434					GCF_024346935.1-RS_2024_03_25	Complete Genome	2022-07-13		3
GCF_000024085.1	ASM2408v1	Kangiella koreensis DSM 16069		DSM 16069					GCF_000024085.1-RS_2024_12_09	Complete Genome	2009-08-28		1
GCF_900637305.1	50618_F02	Cardiobacterium hominis		NCTC10426					GCF_900637305.1-RS_2024_10_11	Complete Genome	2018-12-20		1
GCF_000007745.1	ASM774v1	[Mannheimia] succiniciproducens MBEL55E		MBEL55E					GCF_000007745.1-RS_2024_11_26	Complete Genome	2004-09-17		1
GCF_900186835.1	49950_F01	Pasteurella dagmatis		NCTC11617					GCF_900186835.1-RS_2024_12_11	Complete Genome	2017-08-15		1
GCF_900186995.1	50465_A02	Haemophilus pittmaniae		NCTC13334					GCF_900186995.1-RS_2024_12_13	Complete Genome	2017-08-15		1
GCF_000227665.2	ASM22766v3	Thiomicrospira aerophila AL3		AL3					GCF_000227665.2-RS_2024_12_09	Complete Genome	2014-01-03		1
GCF_900475885.1	49595_C01	Haemophilus aegyptius		NCTC8502					GCF_900475885.1-RS_2024_12_13	Complete Genome	2018-06-17		1
GCF_000214825.1	ASM21482v1	Thiomicrospira cyclica ALM1		ALM1					GCF_000214825.1-RS_2024_12_09	Complete Genome	2011-05-25		1
GCF_001281385.1	ASM128138v1	Candidatus Pseudothioglobus singularis PS1		PS1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-09-14		1
GCF_014268755.2	ASM1426875v2	Pseudomonas vanderleydeniana		RW8P3					GCF_014268755.2-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_003850565.1	ASM385056v1	Pseudomonas sessilinigenes		CMR12a					GCF_003850565.1-RS_2024_07_22	Complete Genome	2018-11-29		1
GCF_002157225.2	ASM215722v2	Agarilytica rhodophyticola		017					GCF_002157225.2-RS_2024_05_03	Complete Genome	2017-06-13		4
GCF_039909015.1	ASM3990901v1	Pseudomonas grandcourensis		DGS24					GCF_039909015.1-RS_2024_07_21	Complete Genome	2024-05-31		1
GCF_000948985.2	ASM94898v2	Thalassomonas viridans		XOM25					GCF_000948985.2-RS_2024_03_26	Complete Genome	2023-02-17		2
GCF_023509015.1	ASM2350901v1	Pseudomonas abieticivorans		PIA16					GCF_023509015.1-RS_2024_08_04	Complete Genome	2022-05-19		1
GCF_019614655.1	ASM1961465v1	Pseudomonas germanica		FIT28					GCF_019614655.1-RS_2024_04_30	Complete Genome	2021-08-16		1
GCF_014268485.2	ASM1426848v2	Pseudomonas zeae		OE 48.2					GCF_014268485.2-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_014268445.2	ASM1426844v2	Pseudomonas tensinigenes		ZA 5.3					GCF_014268445.2-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_024112395.2	ASM2411239v2	Pseudomonas pergaminensis		1008					GCF_024112395.2-RS_2024_05_18	Complete Genome	2024-05-10		1
GCF_030687395.1	ASM3068739v1	Pseudomonas wuhanensis		FP607					GCF_030687395.1-RS_2024_06_02	Complete Genome	2023-08-08		1
GCF_014863605.1	ASM1486360v1	Pseudomonas allokribbensis		IzPS23					GCF_014863605.1-RS_2024_04_20	Complete Genome	2020-10-08		1
GCF_014863585.1	ASM1486358v1	Pseudomonas gozinkensis		IzPS32d					GCF_014863585.1-RS_2024_04_20	Complete Genome	2020-10-08		1
GCF_000948975.2	ASM94897v2	Thalassomonas actiniarum		A5K-106					GCF_000948975.2-RS_2024_03_26	Complete Genome	2023-02-17		2
GCF_025562755.1	ASM2556275v1	Endozoicomonas euniceicola		EF212					GCF_025562755.1-RS_2024_11_18	Complete Genome	2022-10-04		1
GCF_021018765.1	ASM2101876v1	Pseudomonas fitomaticsae		FIT81					GCF_021018765.1-RS_2024_12_09	Complete Genome	2021-12-01		1
GCF_018502625.1	ASM1850262v1	Pseudomonas hormoni		G20-18					GCF_018502625.1-RS_2024_06_06	Complete Genome	2021-05-26		1
GCF_000940805.1	ASM94080v1	Gynuella sunshinyii YC6258		YC6258					GCF_000940805.1-RS_2024_05_02	Complete Genome	2015-03-04		1
GCF_030687835.1	ASM3068783v1	Pseudomonas hefeiensis		FP205					GCF_030687835.1-RS_2024_04_07	Complete Genome	2023-08-08		1
GCF_028657945.1	ASM2865794v1	Thalassomonas haliotis		A5K-61T					GCF_028657945.1-RS_2024_03_26	Complete Genome	2023-02-16		1
GCF_007197555.1	ASM719755v1	Shewanella psychropiezotolerans		YLB-06					GCF_007197555.1-RS_2024_12_09	Complete Genome	2019-07-20		1
GCF_039908645.1	ASM3990864v1	Pseudomonas helvetica		DGS28					GCF_039908645.1-RS_2024_07_21	Complete Genome	2024-05-31		1
GCF_013374995.1	ASM1337499v1	Pseudomonas eucalypticola		NP-1					GCF_013374995.1-RS_2024_04_28	Complete Genome	2020-06-28		2
GCF_011009015.1	ASM1100901v1	Spartinivicinus ruber		S2-4-1H					GCF_011009015.1-RS_2024_12_11	Complete Genome	2020-02-25		4
GCF_030053115.1	ASM3005311v1	Pseudomonas svalbardensis		PMCC 200367					GCF_030053115.1-RS_2024_08_12	Complete Genome	2023-05-20		1
GCF_026898135.2	ASM2689813v2	Pseudomonas fortuita		GMI12077					GCF_026898135.2-RS_2024_09_22	Complete Genome	2023-08-16		1
GCF_019141525.1	ASM1914152v1	Pseudomonas alvandae		SWRI17					GCF_019141525.1-RS_2024_07_29	Complete Genome	2021-07-06		1
GCF_030687935.1	ASM3068793v1	Pseudomonas cucumis		FP1935					GCF_030687935.1-RS_2024_12_09	Complete Genome	2023-08-08		1
GCF_026686735.1	ASM2668673v1	Pseudomonas triclosanedens		ZM23					GCF_026686735.1-RS_2024_12_11	Complete Genome	2022-12-06		1
GCF_014268275.3	ASM1426827v3	Pseudomonas tritici		SWRI145					GCF_014268275.3-RS_2024_07_22	Complete Genome	2021-07-12		1
GCF_019139795.1	ASM1913979v1	Pseudomonas azerbaijanorientalis		SWRI123					GCF_019139795.1-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_019139895.1	ASM1913989v1	Pseudomonas fakonensis		COW40					GCF_019139895.1-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_019139815.1	ASM1913981v1	Pseudomonas asgharzadehiana		SWRI132					GCF_019139815.1-RS_2024_08_08	Complete Genome	2021-07-06		1
GCF_003940825.1	ASM394082v1	Pseudomonas oryziphila		1257					GCF_003940825.1-RS_2024_12_09	Complete Genome	2018-12-12		1
GCF_014268595.2	ASM1426859v2	Pseudomonas hamedanensis		SWRI65					GCF_014268595.2-RS_2024_12_09	Complete Genome	2021-07-06		1
GCF_019139835.1	ASM1913983v1	Pseudomonas xanthosomatis		COR54					GCF_019139835.1-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_003015185.1	ASM301518v1	Ahniella affigens		D13					GCF_003015185.1-RS_2024_05_05	Complete Genome	2018-03-26		2
GCF_042850945.1	ASM4285094v1	Halioxenophilus aromaticivorans		KU68F					GCF_042850945.1-RS_2024_11_20	Complete Genome	2024-10-13		1
GCF_039908635.1	ASM3990863v1	Pseudomonas purpurea		DGS26					GCF_039908635.1-RS_2024_07_21	Complete Genome	2024-05-31		1
GCF_018968705.1	ASM1896870v1	Pseudomonas lijiangensis		LJ2					GCF_018968705.1-RS_2024_12_09	Complete Genome	2021-06-21		1
GCF_007004545.3	ASM700454v3	Shewanella eurypsychrophilus		YLB-08					GCF_007004545.3-RS_2024_03_13	Complete Genome	2021-07-19		1
GCF_019139675.1	ASM1913967v1	Pseudomonas maumuensis		COW77					GCF_019139675.1-RS_2024_07_22	Complete Genome	2021-07-06		1
GCF_026810445.1	ASM2681044v1	Pseudomonas huanghezhanensis		BSw22131					GCF_026810445.1-RS_2024_12_11	Complete Genome	2022-12-12		1
GCF_004214895.1	ASM421489v1	Pseudomonas tructae		SNU WT1					GCF_004214895.1-RS_2024_12_09	Complete Genome	2019-02-20		1
